Country Name,Country Code,Series Name,Series Code,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,4.04E+12,5.24E+12,6.52E+12,8.07E+12,9.63E+12,1.03E+13,1.22E+13,1.47E+13,1.62E+13,1.87E+13
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.236633158,4.177061284,3.522440523,3.772565502,4.753235983,4.127484017,3.798891125,-0.136579803,2.249545852,1.711426774
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,17121.22548,21417.01193,25418.99078,29967.71272,34513.5615,36334.90878,41712.80107,48382.55845,51602.93105,58021.4005
United States,USA,"Population, total",SP.POP.TOTL,235825000,244499000,256514000,269394000,279040000,282162411,292805298,304093966,313877662,323071755
United States,USA,Population growth (annual %),SP.POP.GROW,0.865817336,0.90799904,1.386885692,1.16341162,1.148340047,1.112768997,0.925483969,0.945865287,0.733599941,0.724676067
United States,USA,Land area (sq. km),AG.LND.TOTL.K2,9158960,9158960,9158960,9158960,9158960,9161920,9161920,9147420,9147420,9147420
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,7.25E+11,1.40E+12,2.13E+12,2.50E+12,2.19E+12,1.94E+12,2.81E+12,3.73E+12,3.53E+12,3.47E+12
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.82294781,3.707235659,1.923076559,0.805822891,1.887261154,2.912502964,1.175088132,0.959879134,0.418497594,2.229999868
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,9313.169412,17931.28232,26438.23039,30485.86655,26725.91522,23635.92922,34044.05363,45427.15168,43858.36306,42107.51727
Germany,DEU,"Population, total",SP.POP.TOTL,77858685,78144619,80624598,81914831,82100243,82211508,82516260,82110097,80425823,82348669
Germany,DEU,Population growth (annual %),SP.POP.GROW,-0.345666402,0.39067896,0.760346947,0.289474899,0.064634578,0.1354316,-0.021709728,-0.190142845,0.187727801,0.807218539
Germany,DEU,Land area (sq. km),AG.LND.TOTL.K2,349130,349130,349130,349090,348980,348950,348770,348630,348540,349360
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.94E+11,2.36E+11,3.25E+11,4.01E+11,3.89E+11,4.16E+11,6.14E+11,1.06E+12,1.55E+12,1.21E+12
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.595924261,5.743677843,0.413780384,3.854419963,4.936674928,3.912427733,4.205446887,3.577014878,3.917362463,2.741643069
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,12454.55172,14279.15944,18604.18827,21904.29412,20558.9604,21697.70848,30513.94174,49654.9106,68027.84171,49881.76371
Australia,AUS,"Population, total",SP.POP.TOTL,15544000,16532200,17495000,18311000,18926000,19153000,20127400,21249200,22733465,24190907
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.132221845,1.636206657,1.213390775,1.313819299,1.142505187,1.192272323,1.159352162,2.00402174,1.745820001,1.561940498
